IP,MAC,Status,Miner Type,Miner Model,Miner Brand,Logical Zone,Customer,Real-time Power,Real-time Power Unit,ControlBoard Sn,hashBoard SN,PSU SN,Real-time Hashrate,AVG Hashrate,Theoretical Hashrate,Hashrate unit,Factory Hashrate,Hashrate unit,HashBoard Status,HashBoard Hashrate,HashBoard Hashrate1,HashBoard Hashrate2,HashBoard Hashrate3,HashBoard Hashrate4,HashBoard Frequency,Chip Status,Temperature,Fan Speed,Work Mode,PowerType,Firmware Version,Pool 1,Pool 1 Status,Sub-account 1,Pool 2,Pool 2 Status,Sub-account 2,Pool 3,Pool 3 Status,Sub-account 1,Uptime (Second),Last Update,Remarks,Original Type
10.17.1.1,50:d4:48:4b:76:cc,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3776,W,S127200251901472,"[""S124600251902698"",""S124600251902412"",""S124600251902251""]",1Z250100928,228.72,228.19,232.62,T,220.0,T,"[3,3]","[75.27(1),76.93(2),76.52(3)]",75.27,76.93,76.52,,"[360,367,364]","[459,459]","[66,69,70]","[5015,5045,5075,5045]",Normal(A2*),BTPSU04KSA-02.10,2025052601,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x1,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x1,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x1,32372,2025-08-20 09:07:10,,A2
10.17.1.2,50:d4:48:4b:72:a1,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,2588,W,S127200251903899,"[""S124600251903397"",""S124600251903121""]",1Z251700101,154.75,154.52,158.08,T,220.0,T,"[2,3]","[77.68(1),77.07(2)]",77.68,77.07,,,"[372,369]","[306,459]","[71,67]","[4740,4744,4714,4744]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x62,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x62,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x62,31490,2025-08-20 09:07:10,,A2
10.17.1.3,50:d4:48:4b:72:55,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3776,W,S127200251901180,"[""S124600251909350"",""S124600251909447"",""S124600251909450""]",1Z251702664,226.89,226.38,229.96,T,220.0,T,"[3,3]","[74.57(1),75.9(2),76.42(3)]",74.57,75.9,76.42,,"[357,361,361]","[459,459]","[65,68,71]","[4684,4714,4710,4684]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x3,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x3,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x3,30738,2025-08-20 09:07:10,,A2
10.17.1.4,50:d4:48:4b:76:29,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3756,W,S127200251904138,"[""S124600251903126"",""S124600251903123"",""S124600251903189""]",1Z251700066,226.57,226.25,231.97,T,220.0,T,"[3,3]","[74.87(1),76.85(2),74.86(3)]",74.87,76.85,74.86,,"[360,367,360]","[459,459]","[68,70,69]","[4234,4204,4174,4200]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x4,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x4,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x4,29425,2025-08-20 09:07:10,,A2
10.17.1.5,50:d4:48:4b:72:fe,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3656,W,S127200251904592,"[""S124600251904148"",""S124600251903351"",""S124600251903192""]",1Z251700037,223.86,223.5,229.12,T,220.0,T,"[3,3]","[71.76(1),76.07(2),76.05(3)]",71.76,76.07,76.05,,"[346,365,363]","[459,459]","[65,69,70]","[4260,4290,4264,4230]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x5,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x5,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x5,29420,2025-08-20 09:07:10,,A2
10.17.1.6,50:d4:48:4b:65:0b,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3848,W,S127200251903477,"[""S124600251909347"",""S124600251908892"",""S124600251909398""]",1Z251702557,229.71,230.09,235.53,T,220.0,T,"[3,3]","[78.44(1),75.15(2),76.11(3)]",78.44,75.15,76.11,,"[377,361,367]","[459,459]","[69,68,70]","[4410,4414,4410,4444]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x6,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x6,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x6,29419,2025-08-20 09:07:10,,A2
10.17.1.7,50:d4:48:4b:70:50,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3728,W,S127200251902155,"[""S124600251902497"",""S124600251902046"",""S124600251902923""]",1Z251701714,227.13,226.88,231.78,T,220.0,T,"[3,3]","[75.97(1),76.19(2),74.97(3)]",75.97,76.19,74.97,,"[364,364,358]","[459,459]","[67,70,70]","[4204,4200,4204,4174]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x7,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x7,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x7,29416,2025-08-20 09:07:10,,A2
10.17.1.8,50:d4:48:4b:72:6d,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3796,W,S127200251902397,"[""S124600251905225"",""S124600251904917"",""S124600251905214""]",1Z251701981,227.58,227.35,233.7,T,220.0,T,"[3,3]","[77.17(1),75.84(2),74.57(3)]",77.17,75.84,74.57,,"[371,366,359]","[459,459]","[69,70,69]","[4234,4234,4200,4204]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x8,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x8,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x8,29420,2025-08-20 09:07:10,,A2
10.17.1.9,50:d4:48:4b:77:e6,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,2748,W,S127200251904516,"[""S124600251904057"",""S124600251903431""]",1Z251700407,158.73,158.28,162.09,T,220.0,T,"[2,3]","[78.22(2),80.51(3)]",,78.22,80.51,,"[375,385]","[306,459]","[65,70]","[6600,6600,6606,6600]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x9,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x9,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x9,29488,2025-08-20 09:07:10,,A2
10.17.1.10,50:d4:48:4b:68:80,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3844,W,S127200251902660,"[""S124600251908539"",""S124600251908545"",""S124600251908549""]",1Z251701588,231.8,230.71,235.99,T,220.0,T,"[3,3]","[79.64(1),75.62(2),76.55(3)]",79.64,75.62,76.55,,"[379,362,366]","[459,459]","[70,70,70]","[3960,3930,3930,3930]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x10,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x10,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x10,29424,2025-08-20 09:07:10,,A2
